Rk,Coach,School,Conf,W,L,Pct,Notes
1,Ed Orgeron,LSU,SEC,15,0,1.000,
2,Dabo Swinney,Clemson,ACC,14,1,.933,
3,Ryan Day,Ohio State,Big Ten,13,1,.929,
4,Eli Drinkwitz,Appalachian State,Sun Belt,12,1,.923,
5,Mario Cristobal,Oregon,Pac-12,12,2,.857,
6,Bryan Harsin,Boise State,MWC,12,2,.857,
7,Mike Norvell,Memphis,American,12,2,.857,
8,Lincoln Riley,Oklahoma,Big 12,12,2,.857,
9,Kirby Smart,Georgia,SEC,12,2,.857,
10,Troy Calhoun,Air Force,MWC,11,2,.846,
11,P.J. Fleck,Minnesota,Big Ten,11,2,.846,
12,James Franklin,Penn State,Big Ten,11,2,.846,
13,Brian Kelly,Notre Dame,Ind,11,2,.846,
14,Dan Mullen,Florida,SEC,11,2,.846,
15,Ken Niumatalolo,Navy,American,11,2,.846,
16,Nick Saban,Alabama,SEC,11,2,.846,
17,Luke Fickell,Cincinnati,American,11,3,.786,
18,Lane Kiffin,Florida Atlantic,CUSA,11,3,.786,
19,Billy Napier,Louisiana,Sun Belt,11,3,.786,
20,Matt Rhule,Baylor,Big 12,11,3,.786,
21,Kyle Whittingham,Utah,Pac-12,11,3,.786,
22,Sonny Dykes,SMU,American,10,3,.769,
23,Kirk Ferentz,Iowa,Big Ten,10,3,.769,
24,Josh Heupel,UCF,American,10,3,.769,
25,Skip Holtz,Louisiana Tech,CUSA,10,3,.769,
26,Rocky Long,San Diego State,MWC,10,3,.769,
27,Paul Chryst,Wisconsin,Big Ten,10,4,.714,
28,Nick Rolovich,Hawaii,MWC,10,5,.667,
29,Jim Harbaugh,Michigan,Big Ten,9,4,.692,
30,Tyson Helton,Western Kentucky,CUSA,9,4,.692,
31,Gus Malzahn,Auburn,SEC,9,4,.692,
32,Bill Clark,UAB,CUSA,9,5,.643,
33,Bronco Mendenhall,Virginia,ACC,9,5,.643,
34,Tom Allen,Indiana,Big Ten,8,5,.615,
35,Blake Anderson,Arkansas State,Sun Belt,8,5,.615,
36,Craig Bohl,Wyoming,MWC,8,5,.615,
37,Rod Carey,Temple,American,8,5,.615,
38,Dave Clawson,Wake Forest,ACC,8,5,.615,
39,Herm Edwards,Arizona State,Pac-12,8,5,.615,
40,Jimbo Fisher,Texas A&M,SEC,8,5,.615,
41,Hugh Freeze,Liberty,,8,5,.615,
42,Justin Fuente,Virginia Tech,ACC,8,5,.615,
43,Mike Gundy,Oklahoma State,Big 12,8,5,.615,
44,Clay Helton,USC,Pac-12,8,5,.615,
45,Tom Herman,Texas,Big 12,8,5,.615,
46,Doc Holliday,Marshall,CUSA,8,5,.615,
47,Chris Klieman,Kansas State,Big 12,8,5,.615,
48,Lance Leipold,Buffalo,MAC,8,5,.615,
49,Pat Narduzzi,Pitt,ACC,8,5,.615,
50,Chris Petersen,Washington,Pac-12,8,5,.615,
51,Jeremy Pruitt,Tennessee,SEC,8,5,.615,
52,Scott Satterfield,Louisville,ACC,8,5,.615,
53,Mark Stoops,Kentucky,SEC,8,5,.615,
54,Justin Wilcox,California,Pac-12,8,5,.615,
55,Chuck Martin,Miami (OH),MAC,8,6,.571,
56,Jim McElwain,Central Michigan,MAC,8,6,.571,
57,Gary Andersen,Utah State,MWC,7,6,.538,
58,Mack Brown,North Carolina,ACC,7,6,.538,
59,Matt Campbell,Iowa State,Big 12,7,6,.538,
60,Mark Dantonio,Michigan State,Big Ten,7,6,.538,
61,Shawn Elliott,Georgia State,Sun Belt,7,6,.538,
62,Willie Fritz,Tulane,American,7,6,.538,
63,Will Healy,Charlotte,CUSA,7,6,.538,
64,Jay Hopson,Southern Mississippi,CUSA,7,6,.538,
65,Tim Lester,Western Michigan,MAC,7,6,.538,
66,Sean Lewis,Kent State,MAC,7,6,.538,
67,Chad Lunsford,Georgia Southern,Sun Belt,7,6,.538,
68,Jay Norvell,Nevada,MWC,7,6,.538,
69,Kalani Sitake,BYU,Ind,7,6,.538,
70,Frank Solich,Ohio,MAC,7,6,.538,
71,Steve Addazio,Boston College,ACC,6,6,.500,
72,Jason Candle,Toledo,MAC,6,6,.500,
73,Barry Odom,Missouri,SEC,6,6,.500,
74,Chris Creighton,Eastern Michigan,MAC,6,7,.462,
75,Butch Davis,Florida International,CUSA,6,7,.462,
76,Manny Diaz,Miami (FL),ACC,6,7,.462,
77,Mike Leach,Washington State,Pac-12,6,7,.462,
78,Joe Moorhead,Mississippi State,SEC,6,7,.462,
79,Lovie Smith,Illinois,Big Ten,6,7,.462,
80,Dino Babers,Syracuse,ACC,5,7,.417,
81,Brent Brennan,San Jose State,MWC,5,7,.417,
82,Neal Brown,West Virginia,Big 12,5,7,.417,
83,Jamey Chadwell,Coastal Carolina,Sun Belt,5,7,.417,
84,David Cutcliffe,Duke,ACC,5,7,.417,
85,Scott Frost,Nebraska,Big Ten,5,7,.417,
86,Thomas Hammock,Northern Illinois,MAC,5,7,.417,
87,Chip Lindsey,Troy,Sun Belt,5,7,.417,
88,Mike Neu,Ball State,MAC,5,7,.417,
89,Gary Patterson,TCU,Big 12,5,7,.417,
90,Jonathan Smith,Oregon State,Pac-12,5,7,.417,
91,Mel Tucker II,Colorado,Pac-12,5,7,.417,
92,Matt Viator,Louisiana-Monroe,Sun Belt,5,7,.417,
93,Jeff Monken,Army,Ind,5,8,.385,
94,Willie Taggart,Florida State,ACC,4,5,.444,
95,Mike Bobo,Colorado State,MWC,4,8,.333,
96,Jeff Brohm,Purdue,Big Ten,4,8,.333,
97,Dave Doeren,North Carolina State,ACC,4,8,.333,
98,Dana Holgorsen,Houston,American,4,8,.333,
99,Mike Houston,East Carolina,American,4,8,.333,
100,Chip Kelly,UCLA,Pac-12,4,8,.333,
101,Seth Littrell,North Texas,CUSA,4,8,.333,
102,Matt Luke,Ole Miss,SEC,4,8,.333,
103,Philip Montgomery,Tulsa,American,4,8,.333,
104,Will Muschamp,South Carolina,SEC,4,8,.333,
105,Tony Sanchez,UNLV,MWC,4,8,.333,
106,David Shaw,Stanford,Pac-12,4,8,.333,
107,Rick Stockstill,Middle Tennessee State,CUSA,4,8,.333,
108,Charlie Strong,South Florida,American,4,8,.333,
109,Kevin Sumlin,Arizona,Pac-12,4,8,.333,
110,Jeff Tedford,Fresno State,MWC,4,8,.333,
111,Matt Wells,Texas Tech,Big 12,4,8,.333,
112,Frank Wilson,UTSA,CUSA,4,8,.333,
